Scope
Manufacturer	Model
Xfer Records	vst3.56534558667350736572756D20320000.Serum 2

Remotable	Min	Max	Input type	Output type
CC29 Chan 5	0	4194304	Value	ValueOutput
CC30 Chan 5	0	4194304	Value	ValueOutput
CC31 Chan 5	0	4194304	Value	ValueOutput
CC32 Chan 5	0	4194304	Value	ValueOutput
CC33 Chan 5	0	4194304	Value	ValueOutput
CC34 Chan 5	0	4194304	Value	ValueOutput
CC35 Chan 5	0	4194304	Value	ValueOutput
CC36 Chan 5	0	4194304	Value	ValueOutput
CC37 Chan 5	0	4194304	Value	ValueOutput
CC38 Chan 5	0	4194304	Value	ValueOutput
CC39 Chan 5	0	4194304	Value	ValueOutput
CC40 Chan 5	0	4194304	Value	ValueOutput
CC41 Chan 5	0	4194304	Value	ValueOutput
CC42 Chan 5	0	4194304	Value	ValueOutput
CC43 Chan 5	0	4194304	Value	ValueOutput
CC44 Chan 5	0	4194304	Value	ValueOutput
CC45 Chan 5	0	4194304	Value	ValueOutput
CC46 Chan 5	0	4194304	Value	ValueOutput
CC47 Chan 5	0	4194304	Value	ValueOutput
CC48 Chan 5	0	4194304	Value	ValueOutput
CC49 Chan 5	0	4194304	Value	ValueOutput
CC50 Chan 5	0	4194304	Value	ValueOutput
CC51 Chan 5	0	4194304	Value	ValueOutput
CC52 Chan 5	0	4194304	Value	ValueOutput
CC53 Chan 5	0	4194304	Value	ValueOutput
CC54 Chan 5	0	4194304	Value	ValueOutput
CC55 Chan 5	0	4194304	Value	ValueOutput
CC56 Chan 5	0	4194304	Value	ValueOutput
CC57 Chan 5	0	4194304	Value	ValueOutput
CC58 Chan 5	0	4194304	Value	ValueOutput
CC59 Chan 5	0	4194304	Value	ValueOutput
CC60 Chan 5	0	4194304	Value	ValueOutput
CC61 Chan 5	0	4194304	Value	ValueOutput
CC62 Chan 5	0	4194304	Value	ValueOutput
CC63 Chan 5	0	4194304	Value	ValueOutput
CC64 Chan 5	0	4194304	Value	ValueOutput
CC65 Chan 5	0	4194304	Value	ValueOutput
CC66 Chan 5	0	4194304	Value	ValueOutput
CC67 Chan 5	0	4194304	Value	ValueOutput
CC68 Chan 5	0	4194304	Value	ValueOutput
CC69 Chan 5	0	4194304	Value	ValueOutput
CC70 Chan 5	0	4194304	Value	ValueOutput
CC71 Chan 5	0	4194304	Value	ValueOutput
CC72 Chan 5	0	4194304	Value	ValueOutput
CC73 Chan 5	0	4194304	Value	ValueOutput
CC74 Chan 5	0	4194304	Value	ValueOutput
CC75 Chan 5	0	4194304	Value	ValueOutput
CC76 Chan 5	0	4194304	Value	ValueOutput
CC77 Chan 5	0	4194304	Value	ValueOutput
CC78 Chan 5	0	4194304	Value	ValueOutput
CC79 Chan 5	0	4194304	Value	ValueOutput
CC80 Chan 5	0	4194304	Value	ValueOutput
CC81 Chan 5	0	4194304	Value	ValueOutput
CC82 Chan 5	0	4194304	Value	ValueOutput
CC83 Chan 5	0	4194304	Value	ValueOutput
CC84 Chan 5	0	4194304	Value	ValueOutput
CC85 Chan 5	0	4194304	Value	ValueOutput
CC86 Chan 5	0	4194304	Value	ValueOutput
CC87 Chan 5	0	4194304	Value	ValueOutput
CC88 Chan 5	0	4194304	Value	ValueOutput
CC89 Chan 5	0	4194304	Value	ValueOutput
CC90 Chan 5	0	4194304	Value	ValueOutput
CC91 Chan 5	0	4194304	Value	ValueOutput
CC92 Chan 5	0	4194304	Value	ValueOutput
CC93 Chan 5	0	4194304	Value	ValueOutput
CC94 Chan 5	0	4194304	Value	ValueOutput
CC95 Chan 5	0	4194304	Value	ValueOutput
CC96 Chan 5	0	4194304	Value	ValueOutput
CC97 Chan 5	0	4194304	Value	ValueOutput
CC98 Chan 5	0	4194304	Value	ValueOutput
CC99 Chan 5	0	4194304	Value	ValueOutput
CC100 Chan 5	0	4194304	Value	ValueOutput
CC101 Chan 5	0	4194304	Value	ValueOutput
CC102 Chan 5	0	4194304	Value	ValueOutput
CC103 Chan 5	0	4194304	Value	ValueOutput
CC104 Chan 5	0	4194304	Value	ValueOutput
CC105 Chan 5	0	4194304	Value	ValueOutput
CC106 Chan 5	0	4194304	Value	ValueOutput
CC107 Chan 5	0	4194304	Value	ValueOutput
CC108 Chan 5	0	4194304	Value	ValueOutput
CC109 Chan 5	0	4194304	Value	ValueOutput
CC110 Chan 5	0	4194304	Value	ValueOutput
CC111 Chan 5	0	4194304	Value	ValueOutput
CC112 Chan 5	0	4194304	Value	ValueOutput
CC113 Chan 5	0	4194304	Value	ValueOutput
CC114 Chan 5	0	4194304	Value	ValueOutput
CC115 Chan 5	0	4194304	Value	ValueOutput
CC116 Chan 5	0	4194304	Value	ValueOutput
CC117 Chan 5	0	4194304	Value	ValueOutput
CC118 Chan 5	0	4194304	Value	ValueOutput
CC119 Chan 5	0	4194304	Value	ValueOutput
CC120 Chan 5	0	4194304	Value	ValueOutput
CC121 Chan 5	0	4194304	Value	ValueOutput
CC122 Chan 5	0	4194304	Value	ValueOutput
CC123 Chan 5	0	4194304	Value	ValueOutput
CC124 Chan 5	0	4194304	Value	ValueOutput
CC125 Chan 5	0	4194304	Value	ValueOutput
CC126 Chan 5	0	4194304	Value	ValueOutput
CC127 Chan 5	0	4194304	Value	ValueOutput
Pitch Bend Chan 6	0	4194304	Value	ValueOutput
Aftertouch Chan 6	0	4194304	Value	ValueOutput
CC0 Chan 6	0	4194304	Value	ValueOutput
CC1 Chan 6	0	4194304	Value	ValueOutput
CC2 Chan 6	0	4194304	Value	ValueOutput
CC3 Chan 6	0	4194304	Value	ValueOutput
CC4 Chan 6	0	4194304	Value	ValueOutput
CC5 Chan 6	0	4194304	Value	ValueOutput
CC6 Chan 6	0	4194304	Value	ValueOutput
CC7 Chan 6	0	4194304	Value	ValueOutput
CC8 Chan 6	0	4194304	Value	ValueOutput
CC9 Chan 6	0	4194304	Value	ValueOutput
CC10 Chan 6	0	4194304	Value	ValueOutput
CC11 Chan 6	0	4194304	Value	ValueOutput
CC12 Chan 6	0	4194304	Value	ValueOutput
CC13 Chan 6	0	4194304	Value	ValueOutput
CC14 Chan 6	0	4194304	Value	ValueOutput
CC15 Chan 6	0	4194304	Value	ValueOutput
CC16 Chan 6	0	4194304	Value	ValueOutput
CC17 Chan 6	0	4194304	Value	ValueOutput
CC18 Chan 6	0	4194304	Value	ValueOutput
CC19 Chan 6	0	4194304	Value	ValueOutput
CC20 Chan 6	0	4194304	Value	ValueOutput
CC21 Chan 6	0	4194304	Value	ValueOutput
CC22 Chan 6	0	4194304	Value	ValueOutput
CC23 Chan 6	0	4194304	Value	ValueOutput
CC24 Chan 6	0	4194304	Value	ValueOutput
CC25 Chan 6	0	4194304	Value	ValueOutput
CC26 Chan 6	0	4194304	Value	ValueOutput
CC27 Chan 6	0	4194304	Value	ValueOutput
CC28 Chan 6	0	4194304	Value	ValueOutput
CC29 Chan 6	0	4194304	Value	ValueOutput
CC30 Chan 6	0	4194304	Value	ValueOutput
CC31 Chan 6	0	4194304	Value	ValueOutput
CC32 Chan 6	0	4194304	Value	ValueOutput
CC33 Chan 6	0	4194304	Value	ValueOutput
CC34 Chan 6	0	4194304	Value	ValueOutput
CC35 Chan 6	0	4194304	Value	ValueOutput
CC36 Chan 6	0	4194304	Value	ValueOutput
CC37 Chan 6	0	4194304	Value	ValueOutput
CC38 Chan 6	0	4194304	Value	ValueOutput
CC39 Chan 6	0	4194304	Value	ValueOutput
CC40 Chan 6	0	4194304	Value	ValueOutput
CC41 Chan 6	0	4194304	Value	ValueOutput
CC42 Chan 6	0	4194304	Value	ValueOutput
CC43 Chan 6	0	4194304	Value	ValueOutput
CC44 Chan 6	0	4194304	Value	ValueOutput
CC45 Chan 6	0	4194304	Value	ValueOutput
CC46 Chan 6	0	4194304	Value	ValueOutput
CC47 Chan 6	0	4194304	Value	ValueOutput
CC48 Chan 6	0	4194304	Value	ValueOutput
CC49 Chan 6	0	4194304	Value	ValueOutput
CC50 Chan 6	0	4194304	Value	ValueOutput
CC51 Chan 6	0	4194304	Value	ValueOutput
CC52 Chan 6	0	4194304	Value	ValueOutput
CC53 Chan 6	0	4194304	Value	ValueOutput
CC54 Chan 6	0	4194304	Value	ValueOutput
CC55 Chan 6	0	4194304	Value	ValueOutput
CC56 Chan 6	0	4194304	Value	ValueOutput
CC57 Chan 6	0	4194304	Value	ValueOutput
CC58 Chan 6	0	4194304	Value	ValueOutput
CC59 Chan 6	0	4194304	Value	ValueOutput
CC60 Chan 6	0	4194304	Value	ValueOutput
CC61 Chan 6	0	4194304	Value	ValueOutput
CC62 Chan 6	0	4194304	Value	ValueOutput
CC63 Chan 6	0	4194304	Value	ValueOutput
CC64 Chan 6	0	4194304	Value	ValueOutput
CC65 Chan 6	0	4194304	Value	ValueOutput
CC66 Chan 6	0	4194304	Value	ValueOutput
CC67 Chan 6	0	4194304	Value	ValueOutput
CC68 Chan 6	0	4194304	Value	ValueOutput
CC69 Chan 6	0	4194304	Value	ValueOutput
CC70 Chan 6	0	4194304	Value	ValueOutput
CC71 Chan 6	0	4194304	Value	ValueOutput
CC72 Chan 6	0	4194304	Value	ValueOutput
CC73 Chan 6	0	4194304	Value	ValueOutput
CC74 Chan 6	0	4194304	Value	ValueOutput
CC75 Chan 6	0	4194304	Value	ValueOutput
CC76 Chan 6	0	4194304	Value	ValueOutput
CC77 Chan 6	0	4194304	Value	ValueOutput
CC78 Chan 6	0	4194304	Value	ValueOutput
CC79 Chan 6	0	4194304	Value	ValueOutput
CC80 Chan 6	0	4194304	Value	ValueOutput
CC81 Chan 6	0	4194304	Value	ValueOutput
CC82 Chan 6	0	4194304	Value	ValueOutput
CC83 Chan 6	0	4194304	Value	ValueOutput
CC84 Chan 6	0	4194304	Value	ValueOutput
CC85 Chan 6	0	4194304	Value	ValueOutput
CC86 Chan 6	0	4194304	Value	ValueOutput
CC87 Chan 6	0	4194304	Value	ValueOutput
CC88 Chan 6	0	4194304	Value	ValueOutput
CC89 Chan 6	0	4194304	Value	ValueOutput
CC90 Chan 6	0	4194304	Value	ValueOutput
CC91 Chan 6	0	4194304	Value	ValueOutput
CC92 Chan 6	0	4194304	Value	ValueOutput
CC93 Chan 6	0	4194304	Value	ValueOutput
CC94 Chan 6	0	4194304	Value	ValueOutput
CC95 Chan 6	0	4194304	Value	ValueOutput
CC96 Chan 6	0	4194304	Value	ValueOutput
CC97 Chan 6	0	4194304	Value	ValueOutput
CC98 Chan 6	0	4194304	Value	ValueOutput
CC99 Chan 6	0	4194304	Value	ValueOutput
CC100 Chan 6	0	4194304	Value	ValueOutput
CC101 Chan 6	0	4194304	Value	ValueOutput
CC102 Chan 6	0	4194304	Value	ValueOutput
CC103 Chan 6	0	4194304	Value	ValueOutput
CC104 Chan 6	0	4194304	Value	ValueOutput
CC105 Chan 6	0	4194304	Value	ValueOutput
CC106 Chan 6	0	4194304	Value	ValueOutput
CC107 Chan 6	0	4194304	Value	ValueOutput
CC108 Chan 6	0	4194304	Value	ValueOutput
CC109 Chan 6	0	4194304	Value	ValueOutput
CC110 Chan 6	0	4194304	Value	ValueOutput
CC111 Chan 6	0	4194304	Value	ValueOutput
CC112 Chan 6	0	4194304	Value	ValueOutput
CC113 Chan 6	0	4194304	Value	ValueOutput
CC114 Chan 6	0	4194304	Value	ValueOutput
CC115 Chan 6	0	4194304	Value	ValueOutput
CC116 Chan 6	0	4194304	Value	ValueOutput
CC117 Chan 6	0	4194304	Value	ValueOutput
CC118 Chan 6	0	4194304	Value	ValueOutput
CC119 Chan 6	0	4194304	Value	ValueOutput
CC120 Chan 6	0	4194304	Value	ValueOutput
CC121 Chan 6	0	4194304	Value	ValueOutput
CC122 Chan 6	0	4194304	Value	ValueOutput
CC123 Chan 6	0	4194304	Value	ValueOutput
CC124 Chan 6	0	4194304	Value	ValueOutput
CC125 Chan 6	0	4194304	Value	ValueOutput
CC126 Chan 6	0	4194304	Value	ValueOutput
CC127 Chan 6	0	4194304	Value	ValueOutput
Pitch Bend Chan 7	0	4194304	Value	ValueOutput
Aftertouch Chan 7	0	4194304	Value	ValueOutput
CC0 Chan 7	0	4194304	Value	ValueOutput
CC1 Chan 7	0	4194304	Value	ValueOutput
CC2 Chan 7	0	4194304	Value	ValueOutput
CC3 Chan 7	0	4194304	Value	ValueOutput
CC4 Chan 7	0	4194304	Value	ValueOutput
CC5 Chan 7	0	4194304	Value	ValueOutput
CC6 Chan 7	0	4194304	Value	ValueOutput
CC7 Chan 7	0	4194304	Value	ValueOutput
CC8 Chan 7	0	4194304	Value	ValueOutput
CC9 Chan 7	0	4194304	Value	ValueOutput
CC10 Chan 7	0	4194304	Value	ValueOutput
CC11 Chan 7	0	4194304	Value	ValueOutput
CC12 Chan 7	0	4194304	Value	ValueOutput
CC13 Chan 7	0	4194304	Value	ValueOutput
CC14 Chan 7	0	4194304	Value	ValueOutput
CC15 Chan 7	0	4194304	Value	ValueOutput
CC16 Chan 7	0	4194304	Value	ValueOutput
CC17 Chan 7	0	4194304	Value	ValueOutput
CC18 Chan 7	0	4194304	Value	ValueOutput
CC19 Chan 7	0	4194304	Value	ValueOutput
CC20 Chan 7	0	4194304	Value	ValueOutput
CC21 Chan 7	0	4194304	Value	ValueOutput
CC22 Chan 7	0	4194304	Value	ValueOutput
CC23 Chan 7	0	4194304	Value	ValueOutput
CC24 Chan 7	0	4194304	Value	ValueOutput
CC25 Chan 7	0	4194304	Value	ValueOutput
CC26 Chan 7	0	4194304	Value	ValueOutput
CC27 Chan 7	0	4194304	Value	ValueOutput
CC28 Chan 7	0	4194304	Value	ValueOutput
CC29 Chan 7	0	4194304	Value	ValueOutput
CC30 Chan 7	0	4194304	Value	ValueOutput
CC31 Chan 7	0	4194304	Value	ValueOutput
CC32 Chan 7	0	4194304	Value	ValueOutput
CC33 Chan 7	0	4194304	Value	ValueOutput
CC34 Chan 7	0	4194304	Value	ValueOutput
CC35 Chan 7	0	4194304	Value	ValueOutput
CC36 Chan 7	0	4194304	Value	ValueOutput
CC37 Chan 7	0	4194304	Value	ValueOutput
CC38 Chan 7	0	4194304	Value	ValueOutput
CC39 Chan 7	0	4194304	Value	ValueOutput
CC40 Chan 7	0	4194304	Value	ValueOutput
CC41 Chan 7	0	4194304	Value	ValueOutput
CC42 Chan 7	0	4194304	Value	ValueOutput
CC43 Chan 7	0	4194304	Value	ValueOutput
CC44 Chan 7	0	4194304	Value	ValueOutput
CC45 Chan 7	0	4194304	Value	ValueOutput
CC46 Chan 7	0	4194304	Value	ValueOutput
CC47 Chan 7	0	4194304	Value	ValueOutput
CC48 Chan 7	0	4194304	Value	ValueOutput
CC49 Chan 7	0	4194304	Value	ValueOutput
CC50 Chan 7	0	4194304	Value	ValueOutput
CC51 Chan 7	0	4194304	Value	ValueOutput
CC52 Chan 7	0	4194304	Value	ValueOutput
CC53 Chan 7	0	4194304	Value	ValueOutput
CC54 Chan 7	0	4194304	Value	ValueOutput
CC55 Chan 7	0	4194304	Value	ValueOutput
CC56 Chan 7	0	4194304	Value	ValueOutput
CC57 Chan 7	0	4194304	Value	ValueOutput
CC58 Chan 7	0	4194304	Value	ValueOutput
CC59 Chan 7	0	4194304	Value	ValueOutput
CC60 Chan 7	0	4194304	Value	ValueOutput
CC61 Chan 7	0	4194304	Value	ValueOutput
CC62 Chan 7	0	4194304	Value	ValueOutput
CC63 Chan 7	0	4194304	Value	ValueOutput
CC64 Chan 7	0	4194304	Value	ValueOutput
CC65 Chan 7	0	4194304	Value	ValueOutput
CC66 Chan 7	0	4194304	Value	ValueOutput
CC67 Chan 7	0	4194304	Value	ValueOutput
CC68 Chan 7	0	4194304	Value	ValueOutput
CC69 Chan 7	0	4194304	Value	ValueOutput
CC70 Chan 7	0	4194304	Value	ValueOutput
CC71 Chan 7	0	4194304	Value	ValueOutput
CC72 Chan 7	0	4194304	Value	ValueOutput
CC73 Chan 7	0	4194304	Value	ValueOutput
CC74 Chan 7	0	4194304	Value	ValueOutput
CC75 Chan 7	0	4194304	Value	ValueOutput
CC76 Chan 7	0	4194304	Value	ValueOutput
CC77 Chan 7	0	4194304	Value	ValueOutput
CC78 Chan 7	0	4194304	Value	ValueOutput
CC79 Chan 7	0	4194304	Value	ValueOutput
CC80 Chan 7	0	4194304	Value	ValueOutput
CC81 Chan 7	0	4194304	Value	ValueOutput
CC82 Chan 7	0	4194304	Value	ValueOutput
CC83 Chan 7	0	4194304	Value	ValueOutput
CC84 Chan 7	0	4194304	Value	ValueOutput
CC85 Chan 7	0	4194304	Value	ValueOutput
CC86 Chan 7	0	4194304	Value	ValueOutput
CC87 Chan 7	0	4194304	Value	ValueOutput
CC88 Chan 7	0	4194304	Value	ValueOutput
CC89 Chan 7	0	4194304	Value	ValueOutput
CC90 Chan 7	0	4194304	Value	ValueOutput
CC91 Chan 7	0	4194304	Value	ValueOutput
CC92 Chan 7	0	4194304	Value	ValueOutput
CC93 Chan 7	0	4194304	Value	ValueOutput
CC94 Chan 7	0	4194304	Value	ValueOutput
CC95 Chan 7	0	4194304	Value	ValueOutput
CC96 Chan 7	0	4194304	Value	ValueOutput
CC97 Chan 7	0	4194304	Value	ValueOutput
CC98 Chan 7	0	4194304	Value	ValueOutput
CC99 Chan 7	0	4194304	Value	ValueOutput
CC100 Chan 7	0	4194304	Value	ValueOutput
CC101 Chan 7	0	4194304	Value	ValueOutput
CC102 Chan 7	0	4194304	Value	ValueOutput
CC103 Chan 7	0	4194304	Value	ValueOutput
CC104 Chan 7	0	4194304	Value	ValueOutput
CC105 Chan 7	0	4194304	Value	ValueOutput
CC106 Chan 7	0	4194304	Value	ValueOutput
CC107 Chan 7	0	4194304	Value	ValueOutput
CC108 Chan 7	0	4194304	Value	ValueOutput
CC109 Chan 7	0	4194304	Value	ValueOutput
CC110 Chan 7	0	4194304	Value	ValueOutput
CC111 Chan 7	0	4194304	Value	ValueOutput
CC112 Chan 7	0	4194304	Value	ValueOutput
CC113 Chan 7	0	4194304	Value	ValueOutput
CC114 Chan 7	0	4194304	Value	ValueOutput
CC115 Chan 7	0	4194304	Value	ValueOutput
CC116 Chan 7	0	4194304	Value	ValueOutput
CC117 Chan 7	0	4194304	Value	ValueOutput
CC118 Chan 7	0	4194304	Value	ValueOutput
CC119 Chan 7	0	4194304	Value	ValueOutput
CC120 Chan 7	0	4194304	Value	ValueOutput
CC121 Chan 7	0	4194304	Value	ValueOutput
CC122 Chan 7	0	4194304	Value	ValueOutput
CC123 Chan 7	0	4194304	Value	ValueOutput
CC124 Chan 7	0	4194304	Value	ValueOutput
CC125 Chan 7	0	4194304	Value	ValueOutput
CC126 Chan 7	0	4194304	Value	ValueOutput
CC127 Chan 7	0	4194304	Value	ValueOutput
Pitch Bend Chan 8	0	4194304	Value	ValueOutput
Aftertouch Chan 8	0	4194304	Value	ValueOutput
CC0 Chan 8	0	4194304	Value	ValueOutput
CC1 Chan 8	0	4194304	Value	ValueOutput
CC2 Chan 8	0	4194304	Value	ValueOutput
CC3 Chan 8	0	4194304	Value	ValueOutput
CC4 Chan 8	0	4194304	Value	ValueOutput
CC5 Chan 8	0	4194304	Value	ValueOutput
CC6 Chan 8	0	4194304	Value	ValueOutput
CC7 Chan 8	0	4194304	Value	ValueOutput
CC8 Chan 8	0	4194304	Value	ValueOutput
CC9 Chan 8	0	4194304	Value	ValueOutput
CC10 Chan 8	0	4194304	Value	ValueOutput
CC11 Chan 8	0	4194304	Value	ValueOutput
CC12 Chan 8	0	4194304	Value	ValueOutput
CC13 Chan 8	0	4194304	Value	ValueOutput
CC14 Chan 8	0	4194304	Value	ValueOutput
CC15 Chan 8	0	4194304	Value	ValueOutput
CC16 Chan 8	0	4194304	Value	ValueOutput
CC17 Chan 8	0	4194304	Value	ValueOutput
CC18 Chan 8	0	4194304	Value	ValueOutput
CC19 Chan 8	0	4194304	Value	ValueOutput
CC20 Chan 8	0	4194304	Value	ValueOutput
CC21 Chan 8	0	4194304	Value	ValueOutput
CC22 Chan 8	0	4194304	Value	ValueOutput
CC23 Chan 8	0	4194304	Value	ValueOutput
CC24 Chan 8	0	4194304	Value	ValueOutput
CC25 Chan 8	0	4194304	Value	ValueOutput
CC26 Chan 8	0	4194304	Value	ValueOutput
CC27 Chan 8	0	4194304	Value	ValueOutput
CC28 Chan 8	0	4194304	Value	ValueOutput
CC29 Chan 8	0	4194304	Value	ValueOutput
CC30 Chan 8	0	4194304	Value	ValueOutput
CC31 Chan 8	0	4194304	Value	ValueOutput
CC32 Chan 8	0	4194304	Value	ValueOutput
CC33 Chan 8	0	4194304	Value	ValueOutput
CC34 Chan 8	0	4194304	Value	ValueOutput
CC35 Chan 8	0	4194304	Value	ValueOutput
CC36 Chan 8	0	4194304	Value	ValueOutput
CC37 Chan 8	0	4194304	Value	ValueOutput
CC38 Chan 8	0	4194304	Value	ValueOutput
CC39 Chan 8	0	4194304	Value	ValueOutput
CC40 Chan 8	0	4194304	Value	ValueOutput
CC41 Chan 8	0	4194304	Value	ValueOutput
CC42 Chan 8	0	4194304	Value	ValueOutput
CC43 Chan 8	0	4194304	Value	ValueOutput
CC44 Chan 8	0	4194304	Value	ValueOutput
CC45 Chan 8	0	4194304	Value	ValueOutput
CC46 Chan 8	0	4194304	Value	ValueOutput
CC47 Chan 8	0	4194304	Value	ValueOutput
CC48 Chan 8	0	4194304	Value	ValueOutput
CC49 Chan 8	0	4194304	Value	ValueOutput
CC50 Chan 8	0	4194304	Value	ValueOutput
CC51 Chan 8	0	4194304	Value	ValueOutput
CC52 Chan 8	0	4194304	Value	ValueOutput
CC53 Chan 8	0	4194304	Value	ValueOutput
CC54 Chan 8	0	4194304	Value	ValueOutput
CC55 Chan 8	0	4194304	Value	ValueOutput
CC56 Chan 8	0	4194304	Value	ValueOutput
CC57 Chan 8	0	4194304	Value	ValueOutput
CC58 Chan 8	0	4194304	Value	ValueOutput
CC59 Chan 8	0	4194304	Value	ValueOutput
CC60 Chan 8	0	4194304	Value	ValueOutput
CC61 Chan 8	0	4194304	Value	ValueOutput
CC62 Chan 8	0	4194304	Value	ValueOutput
CC63 Chan 8	0	4194304	Value	ValueOutput
CC64 Chan 8	0	4194304	Value	ValueOutput
CC65 Chan 8	0	4194304	Value	ValueOutput
CC66 Chan 8	0	4194304	Value	ValueOutput
CC67 Chan 8	0	4194304	Value	ValueOutput
CC68 Chan 8	0	4194304	Value	ValueOutput
CC69 Chan 8	0	4194304	Value	ValueOutput
CC70 Chan 8	0	4194304	Value	ValueOutput
CC71 Chan 8	0	4194304	Value	ValueOutput
CC72 Chan 8	0	4194304	Value	ValueOutput
CC73 Chan 8	0	4194304	Value	ValueOutput
CC74 Chan 8	0	4194304	Value	ValueOutput
CC75 Chan 8	0	4194304	Value	ValueOutput
CC76 Chan 8	0	4194304	Value	ValueOutput
CC77 Chan 8	0	4194304	Value	ValueOutput
CC78 Chan 8	0	4194304	Value	ValueOutput
CC79 Chan 8	0	4194304	Value	ValueOutput
CC80 Chan 8	0	4194304	Value	ValueOutput
CC81 Chan 8	0	4194304	Value	ValueOutput
CC82 Chan 8	0	4194304	Value	ValueOutput
CC83 Chan 8	0	4194304	Value	ValueOutput
CC84 Chan 8	0	4194304	Value	ValueOutput
CC85 Chan 8	0	4194304	Value	ValueOutput
CC86 Chan 8	0	4194304	Value	ValueOutput
CC87 Chan 8	0	4194304	Value	ValueOutput
CC88 Chan 8	0	4194304	Value	ValueOutput
CC89 Chan 8	0	4194304	Value	ValueOutput
CC90 Chan 8	0	4194304	Value	ValueOutput
CC91 Chan 8	0	4194304	Value	ValueOutput
CC92 Chan 8	0	4194304	Value	ValueOutput
CC93 Chan 8	0	4194304	Value	ValueOutput
CC94 Chan 8	0	4194304	Value	ValueOutput
CC95 Chan 8	0	4194304	Value	ValueOutput
CC96 Chan 8	0	4194304	Value	ValueOutput
CC97 Chan 8	0	4194304	Value	ValueOutput
CC98 Chan 8	0	4194304	Value	ValueOutput
CC99 Chan 8	0	4194304	Value	ValueOutput
CC100 Chan 8	0	4194304	Value	ValueOutput
CC101 Chan 8	0	4194304	Value	ValueOutput
CC102 Chan 8	0	4194304	Value	ValueOutput
CC103 Chan 8	0	4194304	Value	ValueOutput
CC104 Chan 8	0	4194304	Value	ValueOutput
CC105 Chan 8	0	4194304	Value	ValueOutput
CC106 Chan 8	0	4194304	Value	ValueOutput
CC107 Chan 8	0	4194304	Value	ValueOutput
CC108 Chan 8	0	4194304	Value	ValueOutput
CC109 Chan 8	0	4194304	Value	ValueOutput
CC110 Chan 8	0	4194304	Value	ValueOutput
CC111 Chan 8	0	4194304	Value	ValueOutput
CC112 Chan 8	0	4194304	Value	ValueOutput
CC113 Chan 8	0	4194304	Value	ValueOutput
CC114 Chan 8	0	4194304	Value	ValueOutput
CC115 Chan 8	0	4194304	Value	ValueOutput
CC116 Chan 8	0	4194304	Value	ValueOutput
CC117 Chan 8	0	4194304	Value	ValueOutput
CC118 Chan 8	0	4194304	Value	ValueOutput
CC119 Chan 8	0	4194304	Value	ValueOutput
CC120 Chan 8	0	4194304	Value	ValueOutput
CC121 Chan 8	0	4194304	Value	ValueOutput
CC122 Chan 8	0	4194304	Value	ValueOutput
CC123 Chan 8	0	4194304	Value	ValueOutput
CC124 Chan 8	0	4194304	Value	ValueOutput
CC125 Chan 8	0	4194304	Value	ValueOutput
CC126 Chan 8	0	4194304	Value	ValueOutput
CC127 Chan 8	0	4194304	Value	ValueOutput
Pitch Bend Chan 9	0	4194304	Value	ValueOutput
Aftertouch Chan 9	0	4194304	Value	ValueOutput
CC0 Chan 9	0	4194304	Value	ValueOutput
CC1 Chan 9	0	4194304	Value	ValueOutput
CC2 Chan 9	0	4194304	Value	ValueOutput
CC3 Chan 9	0	4194304	Value	ValueOutput
CC4 Chan 9	0	4194304	Value	ValueOutput
CC5 Chan 9	0	4194304	Value	ValueOutput
CC6 Chan 9	0	4194304	Value	ValueOutput
CC7 Chan 9	0	4194304	Value	ValueOutput
CC8 Chan 9	0	4194304	Value	ValueOutput
CC9 Chan 9	0	4194304	Value	ValueOutput
CC10 Chan 9	0	4194304	Value	ValueOutput
CC11 Chan 9	0	4194304	Value	ValueOutput
CC12 Chan 9	0	4194304	Value	ValueOutput
CC13 Chan 9	0	4194304	Value	ValueOutput
CC14 Chan 9	0	4194304	Value	ValueOutput
CC15 Chan 9	0	4194304	Value	ValueOutput
CC16 Chan 9	0	4194304	Value	ValueOutput
CC17 Chan 9	0	4194304	Value	ValueOutput
CC18 Chan 9	0	4194304	Value	ValueOutput
CC19 Chan 9	0	4194304	Value	ValueOutput
CC20 Chan 9	0	4194304	Value	ValueOutput
CC21 Chan 9	0	4194304	Value	ValueOutput
CC22 Chan 9	0	4194304	Value	ValueOutput
CC23 Chan 9	0	4194304	Value	ValueOutput
CC24 Chan 9	0	4194304	Value	ValueOutput
CC25 Chan 9	0	4194304	Value	ValueOutput
CC26 Chan 9	0	4194304	Value	ValueOutput
CC27 Chan 9	0	4194304	Value	ValueOutput
CC28 Chan 9	0	4194304	Value	ValueOutput
CC29 Chan 9	0	4194304	Value	ValueOutput
CC30 Chan 9	0	4194304	Value	ValueOutput
CC31 Chan 9	0	4194304	Value	ValueOutput
CC32 Chan 9	0	4194304	Value	ValueOutput
CC33 Chan 9	0	4194304	Value	ValueOutput
CC34 Chan 9	0	4194304	Value	ValueOutput
CC35 Chan 9	0	4194304	Value	ValueOutput
CC36 Chan 9	0	4194304	Value	ValueOutput
CC37 Chan 9	0	4194304	Value	ValueOutput
CC38 Chan 9	0	4194304	Value	ValueOutput
CC39 Chan 9	0	4194304	Value	ValueOutput
CC40 Chan 9	0	4194304	Value	ValueOutput
CC41 Chan 9	0	4194304	Value	ValueOutput
CC42 Chan 9	0	4194304	Value	ValueOutput
CC43 Chan 9	0	4194304	Value	ValueOutput
